
_________________________________________________________

Tìm nghiệm gần đúng bằng lặp đơn với 35 lần lặp.
Số chữ số thập phân trong kết quả: 6

_________________________________________________________

Đánh giá sai số hậu nghiệm
Chuẩn hàng của ma trận G: norm_G = 0.7
Lần lặp 0:    | x_1: 0.0000000000   | x_2: 0.0000000000   | x_3: 0.0000000000   | x_4: 0.0000000000   
Lần lặp 1:    | x_1: 1.0000000000   | x_2: 0.8750000000   | x_3: 0.8000000000   | x_4: 0.7500000000   
Lần lặp 2:    | x_1: 0.4625000000   | x_2: 0.3625000000   | x_3: 0.1875000000   | x_4: 0.2312500000   
Lần lặp 3:    | x_1: 0.8385416667   | x_2: 0.7125000000   | x_3: 0.5493750000   | x_4: 0.5510416667   
Lần lặp 4:    | x_1: 0.6062847222   | x_2: 0.4950781250   | x_3: 0.3047916667   | x_4: 0.3405555556   
Lần lặp 5:    | x_1: 0.7591304977   | x_2: 0.6378776042   | x_3: 0.4577769097   | x_4: 0.4743844039   
Lần lặp 6:    | x_1: 0.6620306954   | x_2: 0.5470683594   | x_3: 0.3577097078   | x_4: 0.3877126977   
Lần lặp 7:    | x_1: 0.7249665879   | x_2: 0.6058905617   | x_3: 0.4214914810   | x_4: 0.4432761763   
Lần lặp 8:    | x_1: 0.6846417167   | x_2: 0.5681872622   | x_3: 0.3802304427   | x_4: 0.4074510148   
Lần lặp 9:    | x_1: 0.7106501396   | x_2: 0.5924994210   | x_3: 0.4066970958   | x_4: 0.4304744912   
Lần lặp 10:   | x_1: 0.6939386494   | x_2: 0.5768758358   | x_3: 0.3896378264   | x_4: 0.4156506055   
Lần lặp 11:   | x_1: 0.7046996510   | x_2: 0.5869355609   | x_3: 0.4006031566   | x_4: 0.4251849618   
Lần lặp 12:   | x_1: 0.6977788607   | x_2: 0.5804655140   | x_3: 0.3935437583   | x_4: 0.4190489752   
Lần lặp 13:   | x_1: 0.7022329990   | x_2: 0.5846294590   | x_3: 0.3980844594   | x_4: 0.4229965183   
Lần lặp 14:   | x_1: 0.6993675173   | x_2: 0.5819506307   | x_3: 0.3951623187   | x_4: 0.4204563922   
Lần lặp 15:   | x_1: 0.7012113899   | x_2: 0.5836743826   | x_3: 0.3970422937   | x_4: 0.4220907030   
Lần lặp 16:   | x_1: 0.7000250545   | x_2: 0.5825653271   | x_3: 0.3958325994   | x_4: 0.4210391237   
Lần lặp 17:   | x_1: 0.7007883917   | x_2: 0.5832789374   | x_3: 0.3966109186   | x_4: 0.4217157259   
Lần lặp 18:   | x_1: 0.7002972499   | x_2: 0.5828197899   | x_3: 0.3961101195   | x_4: 0.4212803806   
Lần lặp 19:   | x_1: 0.7006132651   | x_2: 0.5831152187   | x_3: 0.3964323420   | x_4: 0.4215604910   
Lần lặp 20:   | x_1: 0.7004099344   | x_2: 0.5829251336   | x_3: 0.3962250150   | x_4: 0.4213802608   
Lần lặp 21:   | x_1: 0.7005407626   | x_2: 0.5830474392   | x_3: 0.3963584137   | x_4: 0.4214962250   
Lần lặp 22:   | x_1: 0.7004565847   | x_2: 0.5829687450   | x_3: 0.3962725816   | x_4: 0.4214216108   
Lần lặp 23:   | x_1: 0.7005107468   | x_2: 0.5830193788   | x_3: 0.3963278079   | x_4: 0.4214696194   
Lần lặp 24:   | x_1: 0.7004758977   | x_2: 0.5829867998   | x_3: 0.3962922740   | x_4: 0.4214387295   
Lần lặp 25:   | x_1: 0.7004983205   | x_2: 0.5830077619   | x_3: 0.3963151374   | x_4: 0.4214586048   
Lần lặp 26:   | x_1: 0.7004838931   | x_2: 0.5829942744   | x_3: 0.3963004265   | x_4: 0.4214458165   
Lần lặp 27:   | x_1: 0.7004931760   | x_2: 0.5830029526   | x_3: 0.3963098918   | x_4: 0.4214540448   
Lần lặp 28:   | x_1: 0.7004872032   | x_2: 0.5829973688   | x_3: 0.3963038016   | x_4: 0.4214487505   
Lần lặp 29:   | x_1: 0.7004910462   | x_2: 0.5830009616   | x_3: 0.3963077202   | x_4: 0.4214521570   
Lần lặp 30:   | x_1: 0.7004885735   | x_2: 0.5829986499   | x_3: 0.3963051989   | x_4: 0.4214499652   
Lần lặp 31:   | x_1: 0.7004901645   | x_2: 0.5830001373   | x_3: 0.3963068212   | x_4: 0.4214513755   
Lần lặp 32:   | x_1: 0.7004891408   | x_2: 0.5829991803   | x_3: 0.3963057774   | x_4: 0.4214504681   
Lần lặp 33:   | x_1: 0.7004897995   | x_2: 0.5829997960   | x_3: 0.3963064490   | x_4: 0.4214510519   
Lần lặp 34:   | x_1: 0.7004893757   | x_2: 0.5829993998   | x_3: 0.3963060168   | x_4: 0.4214506762   
Lần lặp 35:   | x_1: 0.7004896484   | x_2: 0.5829996548   | x_3: 0.3963062949   | x_4: 0.4214509180   
Sai số tuyệt đối hậu nghiệm: 0.0000006488
Nghiệm của hệ phương trình: 
| x_1: 0.7004896484   | x_2: 0.5829996548   | x_3: 0.3963062949   | x_4: 0.4214509180   

_________________________________________________________

Đánh giá sai số tiên nghiệm
Chuẩn hàng của ma trận G: norm_G = 0.7000000000
Lần lặp 0:    | x_1: 0.0000000000   | x_2: 0.0000000000   | x_3: 0.0000000000   | x_4: 0.0000000000   
Lần lặp 1:    | x_1: 1.0000000000   | x_2: 0.8750000000   | x_3: 0.8000000000   | x_4: 0.7500000000   
Lần lặp 2:    | x_1: 0.4625000000   | x_2: 0.3625000000   | x_3: 0.1875000000   | x_4: 0.2312500000   
Lần lặp 3:    | x_1: 0.8385416667   | x_2: 0.7125000000   | x_3: 0.5493750000   | x_4: 0.5510416667   
Lần lặp 4:    | x_1: 0.6062847222   | x_2: 0.4950781250   | x_3: 0.3047916667   | x_4: 0.3405555556   
Lần lặp 5:    | x_1: 0.7591304977   | x_2: 0.6378776042   | x_3: 0.4577769097   | x_4: 0.4743844039   
Lần lặp 6:    | x_1: 0.6620306954   | x_2: 0.5470683594   | x_3: 0.3577097078   | x_4: 0.3877126977   
Lần lặp 7:    | x_1: 0.7249665879   | x_2: 0.6058905617   | x_3: 0.4214914810   | x_4: 0.4432761763   
Lần lặp 8:    | x_1: 0.6846417167   | x_2: 0.5681872622   | x_3: 0.3802304427   | x_4: 0.4074510148   
Lần lặp 9:    | x_1: 0.7106501396   | x_2: 0.5924994210   | x_3: 0.4066970958   | x_4: 0.4304744912   
Lần lặp 10:   | x_1: 0.6939386494   | x_2: 0.5768758358   | x_3: 0.3896378264   | x_4: 0.4156506055   
Lần lặp 11:   | x_1: 0.7046996510   | x_2: 0.5869355609   | x_3: 0.4006031566   | x_4: 0.4251849618   
Lần lặp 12:   | x_1: 0.6977788607   | x_2: 0.5804655140   | x_3: 0.3935437583   | x_4: 0.4190489752   
Lần lặp 13:   | x_1: 0.7022329990   | x_2: 0.5846294590   | x_3: 0.3980844594   | x_4: 0.4229965183   
Lần lặp 14:   | x_1: 0.6993675173   | x_2: 0.5819506307   | x_3: 0.3951623187   | x_4: 0.4204563922   
Lần lặp 15:   | x_1: 0.7012113899   | x_2: 0.5836743826   | x_3: 0.3970422937   | x_4: 0.4220907030   
Lần lặp 16:   | x_1: 0.7000250545   | x_2: 0.5825653271   | x_3: 0.3958325994   | x_4: 0.4210391237   
Lần lặp 17:   | x_1: 0.7007883917   | x_2: 0.5832789374   | x_3: 0.3966109186   | x_4: 0.4217157259   
Lần lặp 18:   | x_1: 0.7002972499   | x_2: 0.5828197899   | x_3: 0.3961101195   | x_4: 0.4212803806   
Lần lặp 19:   | x_1: 0.7006132651   | x_2: 0.5831152187   | x_3: 0.3964323420   | x_4: 0.4215604910   
Lần lặp 20:   | x_1: 0.7004099344   | x_2: 0.5829251336   | x_3: 0.3962250150   | x_4: 0.4213802608   
Lần lặp 21:   | x_1: 0.7005407626   | x_2: 0.5830474392   | x_3: 0.3963584137   | x_4: 0.4214962250   
Lần lặp 22:   | x_1: 0.7004565847   | x_2: 0.5829687450   | x_3: 0.3962725816   | x_4: 0.4214216108   
Lần lặp 23:   | x_1: 0.7005107468   | x_2: 0.5830193788   | x_3: 0.3963278079   | x_4: 0.4214696194   
Lần lặp 24:   | x_1: 0.7004758977   | x_2: 0.5829867998   | x_3: 0.3962922740   | x_4: 0.4214387295   
Lần lặp 25:   | x_1: 0.7004983205   | x_2: 0.5830077619   | x_3: 0.3963151374   | x_4: 0.4214586048   
Lần lặp 26:   | x_1: 0.7004838931   | x_2: 0.5829942744   | x_3: 0.3963004265   | x_4: 0.4214458165   
Lần lặp 27:   | x_1: 0.7004931760   | x_2: 0.5830029526   | x_3: 0.3963098918   | x_4: 0.4214540448   
Lần lặp 28:   | x_1: 0.7004872032   | x_2: 0.5829973688   | x_3: 0.3963038016   | x_4: 0.4214487505   
Lần lặp 29:   | x_1: 0.7004910462   | x_2: 0.5830009616   | x_3: 0.3963077202   | x_4: 0.4214521570   
Lần lặp 30:   | x_1: 0.7004885735   | x_2: 0.5829986499   | x_3: 0.3963051989   | x_4: 0.4214499652   
Lần lặp 31:   | x_1: 0.7004901645   | x_2: 0.5830001373   | x_3: 0.3963068212   | x_4: 0.4214513755   
Lần lặp 32:   | x_1: 0.7004891408   | x_2: 0.5829991803   | x_3: 0.3963057774   | x_4: 0.4214504681   
Lần lặp 33:   | x_1: 0.7004897995   | x_2: 0.5829997960   | x_3: 0.3963064490   | x_4: 0.4214510519   
Lần lặp 34:   | x_1: 0.7004893757   | x_2: 0.5829993998   | x_3: 0.3963060168   | x_4: 0.4214506762   
Lần lặp 35:   | x_1: 0.7004896484   | x_2: 0.5829996548   | x_3: 0.3963062949   | x_4: 0.4214509180   
Sai số tuyệt đối tiên nghiệm: 0.0000126273
Nghiệm của hệ phương trình: 
| x_1: 0.7004896484   | x_2: 0.5829996548   | x_3: 0.3963062949   | x_4: 0.4214509180   
